,,,,,,,,,9.1,6.5,4,3.5,0.5,5.7,,0.22037,0.58558,-8.4,,9.6,5.1,4.2,2.5,1.75,5.7859,3.5605,1.6541,2025,2024,2023,2022,21/19/18/17,-7.4,1.5,1.25,1,0.75,0.5,,-1.06848,1.56055,-0.49364,2.40336,-0.99436,1.46856,0.08569,-4.5022,-3.49112,1.63943,-0.02901,7.73187,3.52565,0.34867,1.22251,2.94483,3.11106
,Year,,Value,,,,,Win%,Last year win %,2 year prior win %,3 year prior win %,4 year prior win %,5 year prior win %,Consecutive seasons above .500 (MAX 5),Above .500 seasons in past 5 years,Above .500 seasons in past 5 years squared,Mid Major above 500 years,Below .500 years as a power conference school past 5 years,5 Year average,March Games 1 year prior (include first four),March Games 2 year prior,March Games 3 year prior,March Games 4 year prior,March Games 5 year prior,Previous Year Conference Tournament Wins,2 Year Prior Conference Tournament Wins,3 Year Prior Conference Tournament Wins,"March Location (seeding, NIT, CIT, CBI, Missed) last year","March Location (seeding, NIT, CIT, CBI, Missed) 2 year","March Location (seeding, NIT, CIT, CBI, Missed) 3 year","March Location (seeding, NIT, CIT, CBI, Missed) 4 year","March Location (seeding, NIT, CIT, CBI, Missed) 5 year",Power Misses,,,,,,Coaching changes in past 5 seasons (prior to 21-22 season for 26),Coaching Changes in last 5 years squared,March Wins past 5 seasons (not including first four),March Losses past 5 seasons (Inc first 4),March wins ^1/2,March Losses ^1/2,Upsets Made in past 5 March appearances,Upsets Made in past 5 March appearances Squared,Times upset in past 5 March appearances,Times upset in past 5 March appearances Squared,Regular season champs in past 5,Independent School once in past 5 seasons,Power School (Min 1 year in past 5 seasons),Power AQs in past 5,Number of Draft picks in past 5 season,20 Win Season Past 5 Seasons,25 Win Season Past 5 Seasons,30 Win Season Past 5 Seasons
Charleston Southern,2026,7.056,7.056,,,,,0.571428571428571,0.313,0.333,0.323,0.194,0.143,0,0,0,0,0,0.2612,0,0,0,0,0,0,0,1,Missed,Missed,Missed,Missed,Missed,0,-2,-2,-2,-2,-2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charlotte,2026,14.71,14.71,,,,,0.4,0.333,0.613,0.611,0.548,0.36,0,3,9,3,0,0.493,0,0,0,0,0,1,0,0,Missed,Missed,CBI,Missed,Missed,0,-2,-2,8.5,-2,-2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Chattanooga,2026,27.877,27.877,,,,,0.4,0.763,0.636,0.514,0.8,0.692,5,5,25,5,0,0.681,0,0,0,1,0,0,0,0,NIT,Missed,Missed,Thirteen Seed,Missed,0,9,-2,-2,9.5,-2,1,1,0,1,0,1,0,0,0,0,2,0,0,0,0,3,2,0
Chicago St.,2026,9.914,9.914,,,,,0,0.125,0.406,0.355,0.219,0,0,0,0,0,0,0.221,0,0,0,0,0,0,0,0,Missed,CBI,Missed,Missed,Missed,0,-2,8.5,-2,-2,-2,2,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Cincinnati,2026,33.36,33.36,,,,,0.8,0.543,0.595,0.639,0.545,0.522,5,5,25,0,0,0.5688,0,0,0,0,0,1,2,1,CBC,NIT,NIT,Missed,Missed,2,10.5,9,9,-2,-2,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,2,0,0
Clemson,2026,47.778,47.778,,,,,0.833333333333333,0.794,0.667,0.676,0.515,0.667,5,5,25,0,0,0.6638,1,4,0,0,1,1,0,1,Five Seed,Six Seed,NIT,Missed,Seven Seed,1,12,11,9,-2,11,0,0,3,3,1.73205080756888,1.73205080756888,2,4,2,4,0,0,1,0,2,3,1,0
Cleveland St.,2026,41.248,41.248,,,,,0.333333333333333,0.639,0.583,0.6,0.645,0.704,5,5,25,5,0,0.6342,0,0,0,0,1,1,2,2,CBI,CBI,CBI,NIT,Fifteen Seed,0,8.5,8.5,8.5,9,8,2,4,0,1,0,1,0,0,0,0,2,0,0,0,0,4,0,0
Coastal Carolina,2026,10.323,10.323,,,,,0.6,0.313,0.290,0.355,0.576,0.692,0,2,4,2,0,0.4452,0,0,0,0,0,0,1,0,Missed,Missed,Missed,TBC,CBI,0,-2,-2,-2,0.5,8.5,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colgate,2026,45.446,45.446,,,,,0.333333333333333,0.424,0.714,0.743,0.657,0.875,0,4,16,4,0,0.6826,0,1,1,1,1,1,3,3,Missed,Fourteen Seed,Fifteen Seed,Fourteen Seed,Fourteen Seed,0,-2,9.5,8,9.5,9.5,0,0,0,4,0,2,0,0,0,0,4,0,0,0,0,3,2,0
Colorado,2026,56.291,56.291,,,,,1,0.412,0.703,0.514,0.636,0.719,0,4,16,0,1,0.5968,0,3,0,0,2,2,2,1,CBC,Ten Seed,NIT,NIT,Twelve Seed,0,10.5,11,9,9,9.5,0,0,2,2,1.4142135623731,1.4142135623731,2,4,0,0,0,0,1,0,5,3,1,0
