,Players,Team,Location,Opponent,Opponent Conference,Power,Top 25,,STR,Min,FGM,FGA,3M,3A,FTM,FTA,OReb,DReb,AST,STL,TO,PF,PTS,OPP ACTIVE VALUE,OPP HISTORICAL VALUE,TEAM ACTIVE VALUE,TEAM HISTORICAL VALUE,Doubles,Double Doube,Triple Double,0-3+ FG,Perfect 2 FG min 3,Perfect 3 FG min 3,Points Leader,Def Reb Leader,Off Reb Leader,Steal Leader,Assist Leader,Foul Trouble,20+ minutes,20+ points,SM,Line,Clutch ,Overtime,Attendance,Player Points,Top 7,STR,Min,FGM,FGA,3M,3A,FTM,FTA,OReb,DReb,AST,STL,TO,PF,PTS,Player Name
Team:,,,,,,,,,Sum:,Sum:,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sum:,,,,,,,,,,,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Count (Unique):
,Eli Robinson,Air Force,HOME,Miami OH,MAC,0,0,Starter,1,40,5,9,1,1,2,2,0,4,5,2,2,2,13,0,15.433,0,5.743,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-15,9.5,0,0,"1,117",0,TRUE,1,40,5,9,1,1,2,2,0,4,5,2,2,2,13,Eli Robinson
,Eli Robinson,Air Force,HOME,SIU Edwardsville,Ohio Valley,0,0,Starter,1,32,6,13,2,4,3,4,1,4,0,1,3,3,17,0,26.408,0,5.743,1,0,0,0,0,0,1,0,0,0,0,0,1,0,14,2.5,0,0,"1,305",0,TRUE,1,32,6,13,2,4,3,4,1,4,0,1,3,3,17,Eli Robinson
,Eli Robinson,Air Force,HOME,IU Indy,Horizon,0,0,Starter,1,32,7,13,1,2,2,2,3,6,8,1,0,0,17,0,2.264,0,5.743,1,0,0,0,0,0,0,1,1,0,1,0,1,0,13,-3.5,0,0,"1,099",0,TRUE,1,32,7,13,1,2,2,2,3,6,8,1,0,0,17,Eli Robinson
,Ethan Greenberg,Air Force,AWAY,Belmont,Missouri Valley,0,0,Starter,1,20,2,3,1,2,0,0,1,2,1,1,3,1,5,0,21.527,0,5.743,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-16,14.5,0,0,"1,715",0,TRUE,1,20,2,3,1,2,0,0,1,2,1,1,3,1,5,Ethan Greenberg
,Ethan Greenberg,Air Force,HOME,Austin Peay,ASUN,0,0,Starter,1,31,7,12,6,10,1,3,0,2,0,1,1,3,21,0,16.897,0,5.743,1,0,0,0,0,0,1,0,0,0,0,0,1,1,-20,1.5,0,0,"1,374",0,TRUE,1,31,7,12,6,10,1,3,0,2,0,1,1,3,21,Ethan Greenberg
,Ethan Greenberg,Air Force,HOME,Alabama St.,SWAC,0,0,Starter,1,38,4,8,3,5,2,2,0,0,1,0,4,4,13,0,28.14,0,5.743,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2,-1.5,1,0,"1,025",0,TRUE,1,38,4,8,3,5,2,2,0,0,1,0,4,4,13,Ethan Greenberg
,Ethan Greenberg,Air Force,HOME,LIU,NEC,0,0,Starter,1,30,2,7,1,4,1,3,0,1,2,1,2,4,6,0,9.752,0,5.743,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-4,4.5,1,0,"1,089",0,TRUE,1,30,2,7,1,4,1,3,0,1,2,1,2,4,6,Ethan Greenberg
,Ethan Greenberg,Air Force,HOME,Miami OH,MAC,0,0,Starter,1,32,0,3,0,1,0,0,0,3,2,4,1,1,0,0,15.433,0,5.743,0,0,0,1,0,0,0,0,0,1,0,0,1,0,-15,9.5,0,0,"1,117",0,TRUE,1,32,0,3,0,1,0,0,0,3,2,4,1,1,0,Ethan Greenberg
,Ethan Greenberg,Air Force,HOME,SIU Edwardsville,Ohio Valley,0,0,Starter,1,38,3,9,2,8,2,2,0,1,2,0,0,2,10,0,26.408,0,5.743,1,0,0,0,0,0,0,0,0,0,0,0,1,0,14,2.5,0,0,"1,305",0,TRUE,1,38,3,9,2,8,2,2,0,1,2,0,0,2,10,Ethan Greenberg
,Ethan Greenberg,Air Force,HOME,IU Indy,Horizon,0,0,Starter,1,38,3,11,3,8,0,0,0,4,2,3,3,2,9,0,2.264,0,5.743,0,0,0,0,0,0,0,0,0,1,0,0,1,0,13,-3.5,0,0,"1,099",0,TRUE,1,38,3,11,3,8,0,0,0,4,2,3,3,2,9,Ethan Greenberg
,Josh Gatete,Air Force,AWAY,Belmont,Missouri Valley,0,0,Bench,0,10,0,0,0,0,0,0,1,0,0,1,1,1,0,0,21.527,0,5.743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16,14.5,0,0,"1,715",0,FALSE, , , , , , , , , , , , , , , , 
,Josh Gatete,Air Force,HOME,Austin Peay,ASUN,0,0,Bench,0,10,0,3,0,1,0,0,0,2,3,3,1,2,0,0,16.897,0,5.743,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-20,1.5,0,0,"1,374",0,FALSE, , , , , , , , , , , , , , , , 
,Josh Gatete,Air Force,HOME,LIU,NEC,0,0,Bench,0,7,0,0,0,0,0,0,1,0,0,0,5,1,0,0,9.752,0,5.743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,4.5,1,0,"1,089",0,FALSE, , , , , , , , , , , , , , , , 
,Justin Hinds,Air Force,AWAY,Belmont,Missouri Valley,0,0,Bench,0,8,0,0,0,0,0,0,0,1,2,2,0,1,0,0,21.527,0,5.743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16,14.5,0,0,"1,715",0,FALSE, , , , , , , , , , , , , , , , 
,Justin Hinds,Air Force,HOME,Alabama St.,SWAC,0,0,Bench,0,5,0,0,0,0,0,0,0,1,1,0,1,2,0,0,28.14,0,5.743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1.5,1,0,"1,025",0,FALSE, , , , , , , , , , , , , , , , 
