,,,SOS Median,SOS Min,SOS Max,SOS STDEV,SOS SUM
Maryland Eastern Shore,,,45.8263258097359,-42.76487598421,123.561415411476,58.7223399033306,373.557504478279
Massachusetts,,,-3.13040371275566,-22.4633634195212,41.3750972727848,24.6484330498276,12.8289506409071
McNeese St.,,,23.7873065104444,-2.178367872,48.426346608,21.0667937295597,104.991749025253
Memphis,,,23.277397335398,-50.3756423557312,43.6377182786377,33.4938465809032,90.6757440031245
Mercer,,,34.20157480628,-91.76039536283,73.278072127604,66.5910347801203,85.9933790803557
Mercyhurst,,,35.503134035904,-6.86083653195001,154.883400519216,56.965230213948,289.694263512838
Merrimack,,,0.997991430711712,-10.0551906220416,61.0112810416024,29.4205439319578,95.3380539227136
Miami FL,,,15.4455075052933,-23.10977283804,52.3557121677378,26.390852567833,108.106620855639
Miami OH,,,-9.95625426423,-11.904129431468,15.715317568532,11.6624441116368,-17.2108471621264
Michigan,,,52.1385983201043,-20.0166858345077,349.100194408916,131.761502934437,673.794536770925
Michigan St.,,,19.1165705719461,-21.3501762485864,126.239934002608,54.7166954893789,208.13342321398
Middle Tennessee,,,27.7897658516853,6.61978098915145,48.3057195585046,17.3188373811822,128.426044185052
Milwaukee,,,4.8954043139389,-17.087810227932,55.548670455228,33.3044019847104,89.0870874768247
Minnesota,,,-17.9351220526558,-30.6571940390377,23.1922714728192,22.6585655429796,-67.175116426661
Mississippi,,,-6.04487977040127,-36.2125137330191,16.758663328419,16.8309967054233,-50.5560753140763
Mississippi St.,,,-33.7190262966403,-49.4317071471243,-4.97800595192829,18.8629519661809,-171.557991125638
Mississippi Valley St.,,,17.3014792058262,-0.649970113877177,95.6145977313968,34.3495298639094,235.553473835849
Missouri,,,-6.332966345966,-48.413220798158,42.01932339143,33.7118730330449,-45.977464367018
Missouri St.,,,-31.6252190210477,-47.847822215018,10.105728378804,27.9785579279943,-100.992531878309
Monmouth,,,11.7961883639867,-5.78163863535133,83.1985461950978,39.9434606491596,101.00928428772
Montana,,,7.18762092869449,-24.9463613190386,82.9553667306352,44.5688599546294,123.841384670731
Montana St.,,,25.859460413252,-24.887126087204,58.0000031161527,30.7275510188399,106.486197107677
Morehead St.,,,15.525001326372,-10.5033027846609,39.9054151048131,23.5651796448606,67.8420532815082
Morgan St.,,,3.20382496638789,-12.5369587354376,37.7568699915664,17.5356666514742,34.580085592806
Mount St. Mary's,,,1.671505165788,-32.8087711675453,61.32148726512,32.7365170065149,69.0161448309778
Murray St.,,,3.72451831253482,-15.5808922102638,16.7147140981,12.370263428194,21.9130000871642
N.C. State,,,16.0139176695582,-21.1083435943918,41.1777535402889,20.6800293876779,72.2117124047671
Navy,,,43.47300056086,-66.60040048414,94.2921106831127,60.4845561225913,189.474591706413
