,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Team,H/A/N,Conference,Opponent,Opponent Conference,Date,Location,Attendance,Non Conference Game,Neutral Site Game,Road Game,Top 25 Opponent,March Madness Opponent,NCON MM,Mid Major Opponent,Opponent Wins,Opponent Losses,Opponent Win Percentage,Opponent Won More than 20,Opponent Lost more than 15,Record Differential,Record Differential Squared,Win Differential Squared,SM,Line,(SM+Line)^2,(SM+Line+10)^2,Cover Spread,Largest Lead,Largest Deficit,Volatility,Lost as Favorite,Won as Underdog,Tournament Caliber Game ,Win Game within 8,Under .500 Opp min 5 games,15+ Win Within .150 WD min 5g,No double digit lead,Above 5 and below 15 leads,Beat line by double digits,Won by 20 against over .500 team,Within 10 line,Line over 20,Over/Under Line,Total Points,Player Points given up,Opp Coach Value,Opp Historical Value,Standard Point,Game Coding,Potential Game Coding Next Season,Personal Score Thought,"THINK ABOUT ON THE ROAD FAVORITES, within 10 line, 20+ line, power conference vs power conference, actually name the conference for opponent, road x conference, add attendance back,  ranked opponents, top 5, top 10, (sm+line+10)^2 vs ranked, lead/deficit both within 15, both l/d between 7-15, wins by top 25 opponent, actively in bracketology?, power non conference road game, add opponent coach rating",SOS Median,SOS Min,SOS Max,SOS STDEV,SOS SUM
Team:,,,,,,,,,,,,,,,Average:,Average:,,,,,,,Average:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Median:,Minimum:,Maximum:,STDEV:,Sum:
,Cal Poly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Cal St. Bakersfield,,,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.63832085779574,1.63832085779574,1.63832085779574,–,1.63832085779574
,Cal St. Bakersfield,AWAY,Big West,California,ACC,"November 3, 2025","Berkeley, CA",3143,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-27,15.5,-132.25,-2.25,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,147.5,147,0,-5.91811422042646,8.446,1,211,21211,15,,1.63832085779574,1.63832085779574,1.63832085779574,1.63832085779574,1.63832085779574
Cal St. Fullerton,,,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,–,0
,Cal St. Fullerton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Cal St. Northridge,,,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,–,0
,Cal St. Northridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
California,,,,,,,,,,,,,,,1,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.45318440295,33.45318440295,33.45318440295,–,33.45318440295
,California,HOME,ACC,Cal St. Bakersfield,Big West,"November 3, 2025","Berkeley, CA",3143,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,27,-15.5,132.25,462.25,1,30,0,0,0,0,0,0,0,1,0,0,1,0,0,0,147.5,147,0,40.101640295,-19.144,1,112,21112,30,,33.45318440295,33.45318440295,33.45318440295,33.45318440295,33.45318440295
Campbell,,,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.67169789726,-20.67169789726,-20.67169789726,–,-20.67169789726
,Campbell,AWAY,CAA,Wisconsin,Big Ten,"November 3, 2025","Madison, WI",13695,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,-32,20.5,-132.25,-2.25,0,7,32,224,0,0,0,0,0,0,0,0,0,0,0,1,151.5,160,0,4.924710274,10.836,1,221,22221,25,,-20.67169789726,-20.67169789726,-20.67169789726,-20.67169789726,-20.67169789726
Canisius,,,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,–,0
,Canisius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Central Arkansas,,,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.9748261327933,16.9748261327933,16.9748261327933,–,16.9748261327933
,Central Arkansas,AWAY,ASUN,North Carolina,ACC,"November 3, 2025","Chapel Hill, NC",16079,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,-40,31.5,-72.25,2.25,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,1,157.5,148,0,4.06661327932728,7.332,1,221,22221,0,,16.9748261327933,16.9748261327933,16.9748261327933,16.9748261327933,16.9748261327933
Central Connecticut,,,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,–,0
,Central Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Central Michigan,,,,,,,,,,,,,,,1,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.35769122392,50.35769122392,50.35769122392,–,50.35769122392
,Central Michigan,HOME,MAC,Appalachian St.,Sun Belt,"November 3, 2025","Mount Pleasant, MI","1,587",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16,-1.5,210.25,600.25,1,20,0,0,0,0,0,0,0,1,0,0,1,0,1,0,142.5,148,0,1.967322392,6.391,1,112,21112,30,,50.35769122392,50.35769122392,50.35769122392,50.35769122392,50.35769122392
Charleston,,,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,–,0
