,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malik Messina-Moore,Xavier,HOME,Texas A&M Corpus Chris,Southland,1,0,Starter,1,25,3,5,0,2,3,4,0,1,5,2,2,3,9,0,30.05,0,46.89,0,0,0,0,1,0,0,0,0,1,1,0,1,0,21,-16.5,0,0,"9,314",0
Pape N’Diaye,Xavier,HOME,Texas A&M Corpus Chris,Southland,1,0,Bench,0,11,1,4,1,1,1,2,2,2,0,0,0,1,4,0,30.05,0,46.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,-16.5,0,0,"9,314",0
Anthony Robinson,Xavier,HOME,Texas A&M Corpus Chris,Southland,1,0,Bench,0,19,5,7,0,0,2,6,4,4,1,1,1,4,12,0,30.05,0,46.89,1,0,0,0,0,0,0,0,1,0,0,1,0,0,21,-16.5,0,0,"9,314",0
Roddie Anderson III,Xavier,HOME,Texas A&M Corpus Chris,Southland,1,0,Bench,0,22,3,7,2,4,0,0,0,1,2,0,0,3,8,0,30.05,0,46.89,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21,-16.5,0,0,"9,314",0
Isaiah Walker,Xavier,HOME,Texas A&M Corpus Chris,Southland,1,0,Bench,0,15,1,4,1,2,3,6,2,0,2,0,1,1,6,0,30.05,0,46.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,-16.5,0,0,"9,314",0
Davius Loury,Cal St. Northridge,NEUTRAL,Idaho St.,Big Sky,0,0,Starter,1,30,1,10,1,7,2,2,1,1,2,2,1,1,5,0,10.813,0,15.796,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-32,1.5,0,0,—,0
Mahmoud Fofana,Cal St. Northridge,NEUTRAL,Idaho St.,Big Sky,0,0,Starter,1,24,0,4,0,0,4,6,2,4,0,1,3,4,4,0,10.813,0,15.796,0,0,0,1,0,0,0,0,0,0,0,1,1,0,-32,1.5,0,0,—,0
Josiah Davis,Cal St. Northridge,NEUTRAL,Idaho St.,Big Sky,0,0,Starter,1,34,2,8,0,0,0,1,3,1,4,2,1,3,4,0,10.813,0,15.796,0,0,0,0,0,0,0,0,1,0,1,0,1,0,-32,1.5,0,0,—,0
Larry Hughes II,Cal St. Northridge,NEUTRAL,Idaho St.,Big Sky,0,0,Starter,1,27,2,15,1,8,2,2,0,3,1,0,2,4,7,0,10.813,0,15.796,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-32,1.5,0,0,—,0
Joshua O’Garro,Cal St. Northridge,NEUTRAL,Idaho St.,Big Sky,0,0,Starter,1,22,1,9,0,5,0,0,1,5,1,1,8,2,2,0,10.813,0,15.796,0,0,0,0,0,0,0,1,0,0,0,0,1,0,-32,1.5,0,0,—,0
Aleks Szymczyk,Cal St. Northridge,NEUTRAL,Idaho St.,Big Sky,0,0,Bench,0,12,1,3,1,2,3,4,2,4,0,0,0,0,6,0,10.813,0,15.796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32,1.5,0,0,—,0
Jai Chisolm,Cal St. Northridge,NEUTRAL,Idaho St.,Big Sky,0,0,Bench,0,13,5,9,3,5,2,2,1,1,0,1,0,0,15,0,10.813,0,15.796,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-32,1.5,0,0,—,0
James Evans Jr.,Cal St. Northridge,NEUTRAL,Idaho St.,Big Sky,0,0,Bench,0,10,0,5,0,2,0,0,0,1,1,0,0,1,0,0,10.813,0,15.796,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-32,1.5,0,0,—,0
Jordan Brinson,Cal St. Northridge,NEUTRAL,Idaho St.,Big Sky,0,0,Bench,0,20,2,4,1,3,0,0,1,0,0,0,0,1,5,0,10.813,0,15.796,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-32,1.5,0,0,—,0
Connor Hollenbeck,Idaho St.,NEUTRAL,Cal St. Northridge,Big West,0,0,Starter,1,31,3,11,3,6,2,2,2,4,4,0,2,2,11,0,15.796,0,10.813,1,0,0,0,0,0,0,0,0,0,1,0,1,0,32,-1.5,0,0,—,0
